ID,Temp,Yield,Comp
188,1727.68,0,CoCrFeHf0.4Ni
189,25,1250,CoCrFeHf0.5Ni
190,600,1200,CoCrFeHf0.5Ni
191,800,420,CoCrFeHf0.5Ni
192,1756.33,0,CoCrFeHf0.5Ni
193,25,1560,CoCrFeHf0.6Ni
194,600,1290,CoCrFeHf0.6Ni
195,800,470,CoCrFeHf0.6Ni
196,1783.74,0,CoCrFeHf0.6Ni
197,22,1005,Cr20Nb30Ti40Zr10
198,600,775,Cr20Nb30Ti40Zr10
199,700,535,Cr20Nb30Ti40Zr10
200,800,205,Cr20Nb30Ti40Zr10
201,1000,60,Cr20Nb30Ti40Zr10
202,1977.2,0,Cr20Nb30Ti40Zr10
203,25,1595,CrMo0.5NbTa0.5TiZr
204,800,983,CrMo0.5NbTa0.5TiZr
205,1000,546,CrMo0.5NbTa0.5TiZr
206,1200,170,CrMo0.5NbTa0.5TiZr
207,2145,0,CrMo0.5NbTa0.5TiZr
208,23,1518,CrMoNbV
209,300,1432,CrMoNbV
210,500,1270,CrMoNbV
211,700,1142,CrMoNbV
212,800,1121,CrMoNbV
213,900,1095,CrMoNbV
214,1000,1080,CrMoNbV
215,2229,0,CrMoNbV
216,25,1298,CrNbTiVZr
217,600,1230,CrNbTiVZr
218,800,615,CrNbTiVZr
219,1000,259,CrNbTiVZr
220,1963,0,CrNbTiVZr
221,25,1260,CrNbTiZr
222,600,1035,CrNbTiZr
223,800,300,CrNbTiZr
224,1000,115,CrNbTiZr
225,1977,0,CrNbTiZr
226,25,2050,CrTaTi0.3VW
227,1200,586,CrTaTi0.3VW
228,2501,0,CrTaTi0.3VW
229,25,2327,CrTaVW
230,1200,979,CrTaVW
231,2564,0,CrTaVW
232,25,1037,Hf0.25NbTaW0.5
233,25,942,Hf0.25NbTaW0.5
234,1000,584,Hf0.25NbTaW0.5
235,1200,577,Hf0.25NbTaW0.5
236,1400,455,Hf0.25NbTaW0.5
237,2998.64,0,Hf0.25NbTaW0.5
238,25,822,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64
239,60,795,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64
240,100,765,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64
241,200,650,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64
242,300,590,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64
243,2402,0,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64
244,-268.8,2390,Hf0.75NbTa0.5Ti1.5Zr1.25
245,-268.8,2250,Hf0.75NbTa0.5Ti1.5Zr1.25
246,-268.8,2210,Hf0.75NbTa0.5Ti1.5Zr1.25
247,-196,1920,Hf0.75NbTa0.5Ti1.5Zr1.25
248,-196,1880,Hf0.75NbTa0.5Ti1.5Zr1.25
249,-153,1640,Hf0.75NbTa0.5Ti1.5Zr1.25
250,-153,1550,Hf0.75NbTa0.5Ti1.5Zr1.25
251,-103,1380,Hf0.75NbTa0.5Ti1.5Zr1.25
