,Temp,Yield,Comp,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd
77,400,1080,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
78,600,1060,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
79,800,860,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
80,1000,594,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
81,1200,105,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
82,1867,0,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
83,600,930,AlCrMoNbTiB,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
84,800,875,AlCrMoNbTiB,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
85,1000,550,AlCrMoNbTiB,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
86,1200,150,AlCrMoNbTiB,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
87,1867,0,AlCrMoNbTiB,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
88,25,1010,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
89,400,1080,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
90,600,1060,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
91,600,930,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
