,VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt,Assigned Point
17,4.200420042,0.170993541,11.68936122,1.416035397,11.86245082,61.48424846,124.2028203,0.325235524,4.360336034,4.869723972,-0.010633879,1.127511239,-0.00075752,2215.569758,6056.7279329
18,4.200420042,0.170993541,11.68936122,1.416035397,11.86245082,61.48424846,124.2028203,0.325235524,4.360336034,4.869723972,-0.010633879,1.127511239,-0.00075752,2215.569758,6056.7279329
19,4.200420042,0.170993541,11.68936122,1.416035397,11.86245082,61.48424846,124.2028203,0.325235524,4.360336034,4.869723972,-0.010633879,1.127511239,-0.00075752,2215.569758,6056.7279329
20,4.200420042,0.170993541,11.68936122,1.416035397,11.86245082,61.48424846,124.2028203,0.325235524,4.360336034,4.869723972,-0.010633879,1.127511239,-0.00075752,2215.569758,6056.7279329
21,4.28,0.156843871,9.677097593,2.272,12.82003797,68.2,128.0,0.3324,4.24,5.1416,-0.01664,3.248,0.01488,2377.24,5638.012611
22,4.28,0.156843871,9.677097593,2.272,12.82003797,68.2,128.0,0.3324,4.24,5.1416,-0.01664,3.248,0.01488,2377.24,5638.012611
23,4.28,0.156843871,9.677097593,2.272,12.82003797,68.2,128.0,0.3324,4.24,5.1416,-0.01664,3.248,0.01488,2377.24,5638.012611
24,4.28,0.156843871,9.677097593,2.272,12.82003797,68.2,128.0,0.3324,4.24,5.1416,-0.01664,3.248,0.01488,2377.24,5638.012611
25,4.28,0.156843871,9.677097593,2.272,12.82003797,68.2,128.0,0.3324,4.24,5.1416,-0.01664,3.248,0.01488,2377.24,5638.012611
26,5.1,0.219809008,7.986019711,-4.92,14.53343194,77.8,149.8,0.327,5.2,5.971,-0.031814,6.48,-0.0374,2500.45,5389.74802725
27,5.1,0.219809008,7.986019711,-4.92,14.53343194,77.8,149.8,0.327,5.2,5.971,-0.031814,6.48,-0.0374,2500.45,5389.74802725
