ID,Comp,Tbreak,YS at Tbreak,Ys at 600C,Ys at 800C,,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd,Hf,Si,VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Gamma,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt,Assigned Point,Criteria Satisfied,Temp Range,Comment,Cat,
58,CoCrFeHf0.4Ni,962.2754438,1145.418744,1150.007726,540.5496253,,0,0.227272727,0,0.227272727,0.227272727,0.227272727,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,7.863636355,0.175633446,7.712881039,-11.94214875,13.01060934,84.99999991,166.8181816,0.288181818,7.681818173,7.25727272,1.315176859,-0.02843595,8.22314048,0.001652893,2177.727271,5543.950421,4,3,,2,44
46,AlNbTiVZr,972.2010972,1104.151232,1155.078753,550.5698445,,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,4.4,0.110163515,5.794212312,-17.44,13.3808668,49,122,0.36,4.4,5.164,1.211295897,-0.018128,-11.76,0.0184,2041.75,5388.806024,4,3,,2,45
93,HfNbSi0.5TiV,1019.93233,1088.901844,1145.888751,809.0825339,,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0.222222222,0.111111111,4.666666662,0.171464282,9.701425006,-24.19753082,13.14521343,62.88888883,133.2222221,0.364444444,4.222222218,5.907777772,1.462942855,0.004444444,-6.592592579,-0.000740741,2271.988887,5375.539706,4,3,,2,46
19,Al0.5NbTa0.8Ti1.5V0.2Zr,1008.090416,1054.421003,1194.95922,735.4557225,,0.1,0,0,0,0,0,0,0.16,0.3,0.04,0.2,0.2,0,0,0,0,0,0,0,4.5,0.099721412,4.667694148,-8.6176,13.77790745,64.08,131.8,0.3582,4.66,5.2082,1.211212441,-0.014599,-2.6728,0.008828,2336.05,5225.77443,4,3,,2,47
52,C0.1Hf0.25NbTaW0.5,2436.161189,444.8381725,953.7730618,865.0951588,,0,0,0,0,0,0,0,0.363636364,0,0,0,0.363636364,0,0,0.181818182,0,0,0.090909091,0,5.45454546,0.33358558,3.736025085,-3.438016536,10.50602295,116.8181819,200.9090911,0.353636364,5.818181824,6.562727279,1.1734311,-0.000446281,0.413223141,-0.086280992,3195.409094,5105.190224,3,5,,2,48
32,AlCr0.5NbTiV,911.8729801,991.1215858,1008.286463,339.7968682,,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,4.666666662,0.037646832,4.825507689,-15.40740738,13.14521343,59.88888883,132.4444443,0.347777777,4.666666662,5.512222217,1.181138601,-0.007158025,-9.62962961,0.000987654,2068.261109,4876.359323,4,3,,2,49
38,AlCrNbTiV,984.1497651,935.3772907,1015.14064,507.1107833,,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,4.8,0.039698866,5.630746346,-14.56,13.3808668,65.4,135.2,0.334,4.8,5.676,1.181138601,-0.0118,-6.4,0.004,2106.75,4725.658928,4,3,,2,50
10,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667,1035.76529,904.2910165,1081.529947,735.4627107,,0.099909991,0,0,0,0,0,0,0.159915992,0.300030003,0.03990399,0.200120012,0.200120012,0,0,0,0,0,0,0,4.500150015,0.099735671,4.667718905,-8.609016434,13.77584496,64.08190822,131.7959796,0.358205821,4.660066007,5.208418842,1.211212441,-0.014600303,-2.677251869,0.008816813,2336.076193,4652.929356,4,3,,3,51
73,CrTaTi0.3VW,1670.908809,474.6392947,1110.915105,897.6552929,,0,0.23255814,0,0,0,0,0,0.23255814,0.069767442,0.23255814,0,0,0,0,0.23255814,0,0,0,0,5.395348848,0.33010561,5.525285507,-4.586262863,12.82528553,103.5348839,200.6976748,0.304186047,5.860465128,6.464651176,1.181857738,-0.013319091,-2.195781512,-0.134072472,2901.615122,4518.744577,3,5,,3,52
102,MoNbTaTiVW,2191.573217,381.8305389,980.1763367,849.5749534,,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,5.333333344,0.334086649,3.417566645,-4.222222239,14.89668824,88.33333351,196.6666671,0.343333334,5.666666678,6.365000013,1.096647478,0.014611111,-9.111111148,-0.170277778,2838.150006,4482.55645,3,5,,3,53
43,AlNbTa0.5TiZr0.5,1414.917129,467.5322051,782.6982334,647.1501241,,0.25,0,0,0,0,0,0,0.125,0.25,0,0.125,0.25,0,0,0,0,0,0,0,4.375,0.088520831,3.659877526,-18.5625,12.96635773,62.875,125.75,0.3575,4.5,5.06375,1.130007109,-0.01186875,-10.734375,0.00984375,2185.775,4220.110359,3,5,,3,54
106,MoNbTi,1412.820485,450.788684,693.8399496,591.3858647,,0,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0.333333333,0,0,0,0,0,0,5.333333328,0.279205221,2.860264059,-3.555555548,9.133862567,70.99999993,169.9999998,0.356666666,5.333333328,6.323333327,1.076715739,0.014888889,-4.444444436,-0.137777778,2529.149997,4117.552589,3,5,,3,55
91,HfMoNbTiZr,1250.247828,696.9108029,974.0422194,815.6293891,,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0.2,0,4.8,0.309554519,6.209384292,-1.6,13.3808668,62.2,142.8,0.356,4.4,5.998,1.187855316,-0.00664,-5.84,-0.028,2444.32,4037.89104,3,4,,3,56
105,MoNbTaW,1813.558828,365.0395813,699.0283355,608.8320518,,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0,0.25,0,0,0,0,5.75,0.363696302,3.295786493,-6.5,11.52565132,112.25,227.5,0.3325,6.25,6.8675,1.076812136,0.02275,-4.9375,-0.19625,3226.15,4003.796315,3,5,,3,57
41,AlMoNbTi,1381.731668,418.0208988,629.8620323,536.1037315,,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,4.75,0.251134924,2.507667837,-15.25,11.52565132,59.75,146.5,0.35,4.75,5.59,1.0766348,0.01100625,-10.9375,-0.106875,2198.4,3889.85706,3,5,,3,58
42,AlNb1.5Ta0.5Ti1.5Zr0.5,1201.524257,663.0335912,842.2187422,728.079518,,0.2,0,0,0,0,0,0,0.1,0.3,0,0.1,0.3,0,0,0,0,0,0,0,4.5,0.081123363,3.349801387,-15.12,12.51080979,65.2,128.6,0.362,4.6,5.239,1.130007109,-0.009628,-11.56,0.0029,2217.75,3853.658622,3,4,,3,59
22,Al0.667NbTa0.333TiZr0.333,1201.564119,663.0143467,842.2187422,728.079518,,0.200120012,0,0,0,0,0,0,0.099909991,0.300030003,0,0.099909991,0.300030003,0,0,0,0,0,0,0,4.499849985,0.081099468,3.348673956,-15.12710263,12.5095691,65.19381938,128.5910591,0.3620012,4.599759976,5.238865887,1.130007109,-0.009625957,-11.56685137,0.002901678,2217.523237,3853.621506,3,4,,3,60
123,NbTaTiW,1383.163156,408.6983005,617.658872,525.3387908,,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0.25,0,0,0,0,5.25,0.3539774,2.540421922,-4.5,11.52565132,107.25,197.5,0.345,5.75,6.285,1.069786232,0.0148125,-11.3125,-0.165,2987.4,3835.352959,3,5,,3,61
86,HfMo0.5NbTiV0.5,1076.820728,639.5566549,763.7702954,641.6881188,,0,0,0,0,0,0,0,0,0.25,0.125,0,0.25,0.125,0,0,0,0,0.25,0,4.875,0.249896854,5.909200929,-0.875,12.96635773,66.125,146.25,0.3675,4.375,6.20875,1.203821126,-0.031078125,-5.203125,0.02015625,2434.2375,3635.047348,3,4,,3,62
27,Al20Mo10Nb20Ti30V20,1090.426415,615.1190084,736.7282439,624.0776667,,0.2,0,0,0,0,0,0,0,0.3,0.2,0,0.2,0.1,0,0,0,0,0,0,4.6,0.17471119,3.097876459,-14.16,12.9458383,53.2,137.2,0.359,4.6,5.431,1.096619629,0.006302,-11.72,-0.0554,2099.85,3550.902448,3,4,,3,63
77,Hf0.25NbTaW0.5,2614.414692,292.6998188,732.5741337,659.3140535,,0,0,0,0,0,0,0,0.363636364,0,0,0,0.363636364,0,0,0.181818182,0,0,0.090909091,0,5.45454546,0.33358558,3.736025085,-3.438016536,10.50602295,116.8181819,200.9090911,0.353636364,5.818181824,6.562727279,1.1734311,-0.000446281,0.413223141,-0.086280992,3195.409094,3492.514148,2,5,,3,64
